date,refinancing_rate_pct
2023-01-01,10.75
2023-02-01,10.75
2023-03-01,10.75
2023-04-01,10.5
2023-05-01,10.5
2023-06-01,10.25
2023-07-01,10
2023-08-01,
2023-09-01,9.5
2023-10-01,9.5
2023-11-01,9.25
2023-12-01,9.25
2024-01-01,9.25
2024-02-01,9
2024-03-01,8.75
2024-04-01,8.5
2024-05-01,
2024-06-01,8
2024-07-01,8
2024-08-01,7.75
2024-09-01,7.5
2024-10-01,7.25
2024-11-01,7.25
2024-12-01,7
2025-01-01,7
2025-02-01,6.75
2025-03-01,6.75
2025-04-01,6.5
2025-05-01,6.5
2025-06-01,6.5
